web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
"1604367994-218","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/2061-Whisperwood-Glen-Ln-20191/home/9344178","2061 Whisperwood Glen Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/428/genMid.VAFX1149428_1.jpg","$427,694","null"
"1604368464-346","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2","","https://www.redfin.com/VA/Reston/11109-Glade-Dr-20191/home/9360395","11109 Glade Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/864/genMid.VAFX1153864_2.jpg","$951,940","null"
"1604368023-226","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/1265-Weatherstone-Ct-20194/home/9144571","1265 Weatherstone Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/782/genMid.VAFX1155782_2.jpg","$605,423","null"
"1604368339-311","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/1608-Woodstock-Ln-20194/home/9226303","1608 Woodstock Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/148/genMid.VAFX1150148_2.jpg","$936,995","null"
"1604367406-64","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15","","https://www.redfin.com/VA/Reston/11634-Deer-Forest-Rd-20194/home/9122471","11634 Deer Forest Rd","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/378/genMid.VAFX1140378_1.jpg","$749,723","null"
"1604367827-173","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-10","","https://www.redfin.com/VA/Reston/2300-Southgate-Sq-20191/home/9323134","2300 Southgate Sq","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/084/genMid.VAFX1144084_1.jpg","$359,102","null"
"1604368356-316","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/1973-Roland-Clarke-Pl-20191/home/146095197","1973 Roland Clarke Pl","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/576/genMid.VAFX1139576_1.jpg","$970,334","null"
"1604367766-156","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11","","https://www.redfin.com/VA/Reston/1310-Red-Hawk-Cir-20194/home/9150363","1310 Red Hawk Cir","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/630/genMid.VAFX1137630_5.jpg","$910,637","null"
"1604368325-307","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/2201-Cartwright-Pl-20191/home/9337427","2201 Cartwright Pl","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/234/genMid.VAFX1155234_1.jpg","$351,982","null"
"1604367938-202","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/11990-Market-St-20190/unit-915/home/12073171","11990 Market St #915","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/360/genMid.VAFX1105360_4.jpg","$779,788","null"
